#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2015-05-02 18:37:55
#Fields: date time s-sitename cs-method cs-uri-stem cs-uri-query cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2015-05-02 18:37:55 W3SVC3464 GET / - - 95.241.195.154 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1)+AppleWebKit/534.24+(KHTML,+like+Gecko)+Chrome/11.0.700.3+Safari/534.24 - - KSMITI.COM 200 0 0 19216 381 1469
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2015-05-02 19:24:51
#Fields: date time s-sitename cs-method cs-uri-stem cs-uri-query cs-username c-ip cs-version cs(User-Agent) cs(Cookie) cs(Referer) cs-host sc-status sc-substatus sc-win32-status sc-bytes cs-bytes time-taken
2015-05-02 19:24:51 W3SVC3464 GET /robots.txt - - 185.30.91.112 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - - ksmiti.com 404 0 2 1405 246 1000
2015-05-02 19:24:51 W3SVC3464 GET /wp-login.php - - 185.30.91.112 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - - ksmiti.com 404 0 2 1405 225 359
2015-05-02 19:24:52 W3SVC3464 GET /wp-login/ - - 185.30.91.112 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - - ksmiti.com 404 0 2 1405 222 531
2015-05-02 19:24:52 W3SVC3464 GET /wordpress/wp-login.php - - 185.30.91.112 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - - ksmiti.com 404 0 2 1405 235 531
2015-05-02 19:24:53 W3SVC3464 GET /wp-admin/wp-login.php - - 185.30.91.112 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - - ksmiti.com 404 0 2 1405 234 531
2015-05-02 19:24:53 W3SVC3464 GET /section/wp-login.php - - 185.30.91.112 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - - ksmiti.com 404 0 2 1405 233 515
